Bunddle 1,,
Image Number,Answer 1,Answer 2
1,katuwal,
2,karki,
3,poudel,paudel
4,bashyal,basyal
5,neupane,
6,maskey,
7,dhungana,
8,adhikari,
9,gaire,
10,gautam,
11,sigdel,
12,kunwar,kuwar
13,basnet,
14,kharel,
15,bhandari,banjade
16,pokhrel,pokharel
17,sunuwar,sunwar
18,rayamajhi,
19,bista,
Bunddle 2 ,,
 Number,Answer 1,Answer 2
20,sapkota,
21,Acharya,
22,siwakoti,
23,malla,
24,pun,
25,panta,pantha
26,ghimire,Ghimirya
27,chaudhari,chaudhary
28,bastola,
29,dhakal,
30,chapagain,
31,gharti,
32,khatri,
33,pandey,pande
34,Chalise,
35,lama,
36,thapa,
37,thakuri,
38,banjade,
Bunddle 3,,
 Number,Answer 1,Answer 2
39,Singh,
40,Chitrakar,
41,Shahi,Sahi
42,roka,Rokaya
43,hamal,
44,kadel,kandel
45,sherchan,
46,Dhital,
47,tamrakar,
48,oli,
49,subba,
50,pangeni,
51,dangol,
52,khatiwada,
53,regmi,
54,gurung,
55,Amatya,
56,gauchan,
57,paneru,
58,ale,
Bunddle 4,,
 Number,Answer 1,Answer 2
1,gaire,
2,bashyal,basyal
3,neupane,
4,dhakal,
5,kharel,
6,dhungana,
7,pokhrel,pokharel
8,Acharya,
9,siwakoti,
10,chapagain,
11,sapkota,
12,chaudhari,chaudhary
13,gharti,
14,khatri,
15,Chalise,
16,thapa,
17,thakuri,
18,bastola,
19,bhandari,banjade
20,banjade,
